WG,OU,Skill Owner: CPT,Skill Owner: SAVCS
DE B2B ENG CPT (M/P/E),Amazon Business,Rebecca,Rebecca
Amazon Business Enterprise,Amazon Business,Rebecca,Rebecca
Amazon Business Enterprise_PNQ10,Amazon Business,Rebecca,Rebecca
Amazon Business Enterprise_w/o Tax,Amazon Business,Rebecca,Rebecca
DE B2B (M/P/E),Amazon Business,Rebecca,Rebecca
Communities,Communities,Kevin,Kevin
DE EngTier2 (C/P/E),DE Consumer,,
DE EngTier1 (C/P/E),DE Consumer,,
DE_Amazon_Business_AC3,DE Consumer,Rebecca,Rebecca
DE_D2_Group2Eng_(M/P/E),DE D2AS,,
US Account Change Retail Blend,NA Consumer,Zaiyaan,Hayden
HBS_US_EN_CA_HeavyBulky_Services_Phone,NA Consumer,Zaiyaan,Hayden
Account Management,NA Consumer,Zaiyaan,Hayden
DART_CC_English_Supervisor,NA Consumer,Zaiyaan,Hayden
Eco_Retail_P2_TBR_Phone,NA Consumer,Zaiyaan,Hayden
D2AS_EN_Generalist_Blended,NA D2AS,Dylan,Taariq
CPT_CAP_Kindle,NA D2AS,Dylan,Taariq
AC3D2_AMZ_US_Gen,NA D2AS,Dylan,Taariq
AC3D2_AMZ_US_Gen_M,NA D2AS,Dylan,Taariq
AMZ_UK_AC_CE_P,UK Consumer,Chelsea/John,Chelsea/John
Caracara_UK_Phone,UK Consumer,Chelsea/John,Chelsea/John
Uk Retail M,UK Consumer,Chelsea/John,Chelsea/John
AMZ_UK_AC_CE_P,UK Consumer,Chelsea/John,Chelsea/John
AMZ_UK_PRIME_PM,UK Consumer,Chelsea/John,Chelsea/John
UK Message Us,UK Consumer,Chelsea/John,Chelsea/John
AMZ_UK_AC/CE_PM,UK Consumer,Chelsea/John,Chelsea/John
AMZ_UK_AC_CE_PM_Connect_Access,UK Consumer,Chelsea/John,Chelsea/John
AMZ_UK_D2_Blended_P_MU_E_CAP,UK D2AS,Dylan,Taariq
UK_DE_D2_Blended_P_C,UK D2AS,Dylan,Taariq
AMZ_UK_CPT_D2_AT_P_C_E,UK D2AS,Dylan,Taariq
AC3D2_AMZ_UK,UK D2AS,Dylan,Taariq
Test_Group,Test_OU,Angelo,Angelo
Search & Rescue,NA Consumer,,Hayden
Back Office,NA Consumer,,Hayden
US Account Change Retail Blend,NA Consumer,,Hayden
Eco_Retail_P2_Phone_CPT,NA Consumer,,Hayden
US_Locker_Phone_Chat,NA Consumer,,Hayden
Amazon Business Generalist_Phone+ABE,NA Consumer,,Hayden
Fresh_Prime Now_Combined,NA Consumer,,Hayden
Eco_Retail_P2_Phone_Non_Us,NA Consumer,,Hayden
Amazon Business Generalist_Phone,NA Consumer,,Hayden
Account Management,NA Consumer,,Hayden
Back Office II,NA Consumer,,Hayden
Eco_Retail_P1_Phone,NA Consumer,,Hayden
US_Prime_Now_PNRestaurants,NA Consumer,,Hayden
Dart_CC,NA Consumer,,Hayden
Retail Viking Phone,NA Consumer,,Hayden
Eco_Retail_P2_Phone_Network_OT,NA Consumer,,Hayden
Canada_Repeat,NA Consumer,,Hayden
